send_ts,repo_error,px_error_x, px_error_y,unit_vec_x, unit_vec_y, unit_vec_z,rot_error_x, rot_error_y, rot_error_z,w_x,w_y,w_z,v_x,v_y,v_z
1784225694.247535,28.407,218.759,48.889,0.238,-0.661,-0.343,4.542,-3.163,-8.611,0.000,0.000,0.000,29.411,-47.717,-37.558
1784225694.666488,35.248,217.082,49.330,0.178,-0.476,-0.356,4.677,-3.398,-9.273,0.000,0.000,0.000,27.766,-46.619,-42.460
1784225695.059596,30.923,214.343,42.619,0.150,-0.399,-0.523,5.168,-2.769,-9.375,0.000,0.000,0.000,21.668,-42.197,-46.208
1784225695.460628,34.030,219.519,39.948,0.172,-0.628,-0.471,4.977,-2.748,-8.689,0.000,0.000,0.000,26.280,-48.623,-46.108
1784225695.869771,51.192,215.376,49.359,-0.079,-0.585,-0.558,5.420,-3.538,-8.726,0.000,0.000,0.000,-19.107,-49.751,-49.672
1784225696.256576,35.121,215.952,47.191,0.165,-0.468,-0.492,5.223,-3.393,-9.039,0.000,0.000,0.000,26.076,-46.404,-46.946
1784225696.647866,55.390,206.778,57.320,0.272,-0.156,-0.466,5.495,-3.170,-9.540,0.000,0.000,0.000,45.335,-34.925,-49.431
1784225697.038914,90.873,210.144,45.959,0.240,-0.293,-0.361,5.047,-2.850,-8.969,0.000,0.000,0.000,48.732,-49.517,-49.859
1784225697.430397,56.437,195.885,60.721,0.515,0.012,-0.254,5.646,-3.003,-9.515,0.000,0.000,0.000,49.702,3.473,-44.613
1784225697.812943,90.785,200.049,38.609,0.334,-0.182,-0.305,4.941,-2.610,-8.846,0.000,0.000,0.000,49.770,-46.438,-49.610
1784225698.187225,40.210,108.780,24.268,-0.772,-0.098,-0.150,4.444,-4.669,-8.405,0.000,0.000,0.000,-49.799,-18.807,-26.904
1784225698.568313,109.961,23.018,151.054,0.441,0.694,0.417,5.516,-5.505,-9.231,0.000,0.000,0.000,49.994,50.000,49.989
1784225698.954453,46.044,113.836,-51.780,-0.583,0.086,-0.559,4.404,-4.671,-8.335,0.000,0.000,0.000,-49.538,18.794,-49.419
1784225699.340516,45.369,130.710,-87.079,-0.582,-0.097,-0.596,4.478,-6.223,-7.768,0.000,0.000,0.000,-49.492,-20.683,-49.554
1784225699.714324,51.747,102.955,-64.936,-0.419,0.061,-0.702,4.732,-5.972,-7.927,0.000,0.000,0.000,-48.715,15.324,-49.930
1784225700.105091,121.376,105.099,148.423,0.152,0.576,0.544,6.843,-4.857,-9.810,0.000,0.000,0.000,47.557,50.000,50.000
1784225700.488610,55.312,171.372,133.235,-0.281,0.432,0.676,5.700,-4.503,-9.407,0.000,0.000,0.000,-45.725,49.165,49.944
1784225700.898886,114.888,208.125,121.438,-0.346,-0.399,0.511,6.473,-4.903,-8.210,0.000,0.000,0.000,-49.965,-49.990,49.999
1784225701.320569,38.401,201.217,133.520,0.598,-0.166,0.652,5.882,-4.182,-9.003,0.000,0.000,0.000,49.001,-28.129,49.338
1784225701.761891,48.350,204.190,130.700,0.598,-0.319,0.442,5.948,-4.959,-8.578,0.000,0.000,0.000,49.692,-45.629,48.631
1784225702.180104,108.002,198.569,112.277,0.549,-0.153,0.379,5.676,-4.699,-8.839,0.000,0.000,0.000,49.999,-46.459,49.972
1784225702.564873,480.155,157.782,73.300,0.528,0.171,0.057,5.733,-3.452,-9.323,0.000,0.000,0.000,50.000,50.000,49.573
1784225702.963232,505.683,147.311,47.571,0.591,0.325,-0.215,5.314,-2.764,-8.858,0.000,0.000,0.000,50.000,50.000,-50.000
1784225703.340003,218.996,134.361,-6.553,0.146,0.327,-0.634,5.394,-3.968,-9.075,0.000,0.000,0.000,49.834,50.000,-50.000
1784225703.718467,85.588,136.460,-1.529,0.214,0.494,-0.685,4.796,-3.361,-9.704,0.000,0.000,0.000,47.499,49.979,-49.999
1784225704.092814,236.982,105.130,-92.962,-0.338,0.119,-0.872,4.305,-2.111,-8.575,0.000,0.000,0.000,-50.000,49.646,-50.000
1784225704.463061,76.601,148.771,-102.382,-0.138,-0.058,-0.632,2.632,-2.292,-7.901,0.000,0.000,0.000,-39.293,-20.775,-49.994
1784225704.839210,36.956,153.077,-28.424,-0.731,0.006,-0.570,5.222,-4.342,-8.561,0.000,0.000,0.000,-49.553,1.103,-48.546
1784225705.224566,74.428,236.132,-95.593,-0.595,-0.381,-0.504,3.257,-4.516,-7.877,0.000,0.000,0.000,-49.986,-49.656,-49.945
1784225705.612474,271.534,-4.985,4.268,0.294,0.674,-0.122,5.384,-3.793,-8.438,0.000,0.000,0.000,50.000,50.000,-49.865
1784225706.003104,537.454,-39.887,-23.040,0.213,0.793,-0.374,4.022,0.787,-11.777,0.000,0.000,0.000,50.000,50.000,-50.000
1784225706.383883,16.032,218.955,113.460,-0.245,-0.696,0.381,5.911,-4.648,-8.458,0.000,2.872,-2.283,0.000,0.000,0.000
1784225706.796582,14.749,229.603,114.067,-0.495,-0.799,0.288,6.043,-4.749,-8.492,0.000,2.933,-2.331,0.000,0.000,0.000
1784225707.213413,11.027,210.796,112.605,-0.660,-0.566,0.345,5.497,-4.248,-8.649,0.000,2.682,-2.093,0.000,0.000,0.000
1784225707.615717,8.732,189.382,84.830,-0.432,-0.735,0.375,3.798,-3.706,-7.265,0.000,1.877,-1.832,0.000,0.000,0.000
1784225708.005615,12.699,185.933,77.237,-0.451,-0.512,0.422,2.998,-3.000,-7.155,0.000,1.488,-1.489,0.000,0.000,0.000
1784225708.399036,18.369,191.385,59.946,-0.638,-0.588,0.350,2.416,-3.039,-6.572,0.000,1.202,-1.508,0.000,0.000,0.000
1784225708.818283,8.702,152.819,43.118,-0.438,-0.593,0.455,1.081,-2.538,-5.725,0.000,0.540,-1.262,0.000,0.000,0.000
1784225709.210741,14.032,150.385,43.989,-0.363,-0.559,0.410,1.075,-1.888,-5.357,0.000,0.537,-0.941,0.000,0.000,0.000
1784225709.599906,17.280,156.173,39.718,-0.582,-0.483,0.453,0.730,-2.048,-5.133,0.000,0.365,-1.021,0.000,0.000,0.000
1784225709.987534,19.544,151.120,34.101,-0.493,-0.675,0.443,0.324,-1.952,-4.347,0.000,0.000,-0.973,0.000,0.000,0.000
1784225710.373137,18.943,147.572,42.056,-0.623,-0.452,0.374,0.575,-1.924,-4.492,0.000,0.287,-0.959,0.000,0.000,0.000
1784225710.756233,23.716,147.913,36.277,-0.486,-0.441,0.403,0.427,-1.616,-4.157,0.000,0.000,-0.806,0.000,0.000,0.000
1784225711.138028,11.962,107.097,21.691,-0.499,-0.671,0.452,-0.198,-1.339,-3.251,0.000,0.000,-0.668,0.000,0.000,0.000
1784225711.523948,10.230,91.265,20.304,-0.575,-0.702,0.566,-0.625,-1.192,-2.748,0.000,-0.312,-0.595,0.000,0.000,0.000
1784225711.914173,8.221,84.955,12.868,-0.612,-0.823,0.462,-0.637,-1.284,-2.392,0.000,-0.318,-0.641,0.000,0.000,0.000
1784225712.298706,9.726,86.680,16.616,-0.416,-0.693,0.453,-0.444,-1.129,-2.226,0.000,0.000,-0.564,0.000,0.000,0.000
1784225712.691556,9.269,80.248,14.578,-0.394,-0.740,0.441,-0.395,-0.982,-1.913,0.000,0.000,-0.491,0.000,0.000,0.000
1784225713.078432,10.286,79.194,20.631,-0.356,-0.698,0.439,-0.174,-0.985,-1.858,0.000,0.000,-0.492,0.000,0.000,0.000
1784225713.472525,10.110,74.721,26.431,-0.424,-0.559,0.444,0.010,-0.767,-1.919,0.000,0.000,-0.383,0.000,0.000,0.000
1784225713.859777,9.496,65.956,17.283,-0.401,-0.619,0.391,-0.141,-0.785,-1.583,0.000,0.000,-0.392,0.000,0.000,0.000
1784225714.248774,11.052,67.231,22.768,-0.550,-0.620,0.451,0.006,-0.779,-1.653,0.000,0.000,-0.389,0.000,0.000,0.000
1784225714.637710,7.520,57.087,17.137,-0.332,-0.670,0.402,-0.122,-0.653,-1.222,0.000,0.000,-0.326,0.000,0.000,0.000
1784225715.028112,8.738,58.634,20.894,-0.301,-0.585,0.448,-0.108,-0.579,-1.254,0.000,0.000,-0.289,0.000,0.000,0.000
1784225715.416770,13.820,60.739,24.691,-0.560,-0.510,0.412,0.203,-0.591,-1.393,0.000,0.000,-0.295,0.000,0.000,0.000
1784225715.806338,11.550,56.247,23.128,-0.474,-0.686,0.409,0.166,-0.677,-1.015,0.000,0.000,-0.338,0.000,0.000,0.000
,,,,,, 
1784225716.607364,12.390,53.410,27.008,-0.600,-0.517,0.498,0.110,-0.517,-1.036,0.000,0.000,0.000,-31.555,-28.258,27.458
1784225717.026154,8.280,45.377,21.557,-0.376,-0.658,0.506,-0.194,-0.418,-0.590,0.000,0.000,0.000,-15.075,-24.839,19.814
,,,,,, 
