Time,DeltaTime,PosX,PosY,PosZ,Pitch,Yaw,Roll
31.795994,0.056284,-29948.725,-100.744,171.642,0.000,45.708,-0.000
31.853653,0.057660,-29948.725,-100.744,171.642,0.036,45.726,0.000
31.906313,0.052659,-29948.725,-100.744,171.642,0.036,45.726,0.000
31.973886,0.067575,-29948.725,-100.744,171.642,0.036,45.726,0.000
32.029499,0.055612,-29948.725,-100.744,171.642,0.101,45.759,-0.000
32.085464,0.055967,-29948.725,-100.744,171.642,0.101,45.759,-0.000
32.163383,0.077919,-29948.725,-100.744,171.642,0.101,45.759,-0.000
32.230774,0.067388,-29948.725,-100.744,171.642,0.079,46.191,0.000
32.305637,0.074865,-29948.725,-100.744,171.642,0.079,46.191,0.000
32.373585,0.067947,-29948.725,-100.744,171.642,0.109,46.581,0.000
32.443951,0.070364,-29948.725,-100.744,171.642,0.109,46.581,0.000
32.520725,0.076776,-29948.725,-100.744,171.642,0.179,46.882,-0.000
32.588680,0.067954,-29948.725,-100.744,171.642,0.179,46.882,-0.000
32.654682,0.066005,-29948.725,-100.744,171.642,0.291,47.149,0.000
32.716682,0.062001,-29948.725,-100.744,171.642,0.291,47.149,0.000
32.771023,0.054338,-29948.725,-100.744,171.642,0.291,47.149,0.000
32.815365,0.044341,-29948.725,-100.744,171.642,0.399,47.323,-0.000
32.857307,0.041943,-29948.725,-100.744,171.642,0.399,47.323,-0.000
32.901405,0.044101,-29948.725,-100.744,171.642,0.399,47.323,-0.000
32.951019,0.049612,-29948.725,-100.744,171.642,0.481,47.421,0.000
32.995083,0.044063,-29948.725,-100.744,171.642,0.481,47.421,0.000
33.040661,0.045579,-29948.725,-100.744,171.642,0.481,47.421,0.000
33.089817,0.049158,-29948.725,-100.744,171.642,0.481,47.421,0.000
33.139820,0.050001,-29948.725,-100.744,171.642,0.485,47.828,-0.000
33.181770,0.041952,-29948.725,-100.744,171.642,0.485,47.828,-0.000
33.226143,0.044372,-29948.725,-100.744,171.642,0.485,47.828,-0.000
33.276981,0.050838,-29948.725,-100.744,171.642,0.517,48.106,-0.000
33.320454,0.043473,-29948.725,-100.744,171.642,0.517,48.106,-0.000
33.364742,0.044289,-29948.725,-100.744,171.642,0.517,48.106,-0.000
33.414425,0.049681,-29948.725,-100.744,171.642,0.517,48.106,-0.000
33.456947,0.042524,-29948.725,-100.744,171.642,0.498,48.634,0.000
33.501110,0.044161,-29948.725,-100.744,171.642,0.498,48.634,0.000
33.551373,0.050263,-29948.725,-100.744,171.642,0.498,48.634,0.000
33.599777,0.048405,-29948.725,-100.744,171.642,0.498,48.634,0.000
33.641865,0.042086,-29948.725,-100.744,171.642,0.427,49.420,0.000
33.685329,0.043466,-29948.725,-100.744,171.642,0.427,49.420,0.000
33.734550,0.049221,-29948.725,-100.744,171.642,0.427,49.420,0.000
33.779591,0.045043,-29948.725,-100.744,171.642,0.335,50.212,-0.000
33.821911,0.042318,-29948.725,-100.744,171.642,0.335,50.212,-0.000
33.864052,0.042140,-29948.725,-100.744,171.642,0.335,50.212,-0.000
33.913502,0.049453,-29948.725,-100.744,171.642,0.335,50.212,-0.000
33.959190,0.045685,-29948.725,-100.744,171.642,0.232,51.056,0.000
34.001793,0.042604,-29948.725,-100.744,171.642,0.232,51.056,0.000
34.045330,0.043538,-29948.725,-100.744,171.642,0.232,51.056,0.000
34.096226,0.050895,-29948.725,-100.744,171.642,0.232,51.056,0.000
34.141426,0.045202,-29948.725,-100.744,171.642,0.189,51.682,-0.000
34.183964,0.042537,-29948.725,-100.744,171.642,0.189,51.682,-0.000
34.225922,0.041958,-29948.725,-100.744,171.642,0.189,51.682,-0.000
34.275143,0.049219,-29948.725,-100.744,171.642,0.189,51.682,-0.000
34.319138,0.043997,-29948.725,-100.744,171.642,0.191,52.121,-0.000
34.361839,0.042703,-29948.725,-100.744,171.642,0.191,52.121,-0.000
34.405975,0.044136,-29948.725,-100.744,171.642,0.191,52.121,-0.000
34.455898,0.049923,-29948.725,-100.744,171.642,0.191,52.121,-0.000
34.499767,0.043867,-29948.725,-100.744,171.642,0.224,52.460,0.000
34.550526,0.050759,-29948.725,-100.744,171.642,0.224,52.460,0.000
34.596210,0.045687,-29948.725,-100.744,171.642,0.224,52.460,0.000
34.647823,0.051612,-29948.725,-100.744,171.642,0.224,52.460,0.000
34.693756,0.045932,-29948.725,-100.744,171.642,0.282,52.723,0.000
34.737774,0.044017,-29948.725,-100.744,171.642,0.282,52.723,0.000
34.782246,0.044474,-29948.725,-100.744,171.642,0.282,52.723,0.000
34.832024,0.049778,-29948.725,-100.744,171.642,0.282,52.723,0.000
34.876583,0.044559,-29948.725,-100.744,171.642,0.353,52.919,0.000
34.923126,0.046540,-29948.725,-100.744,171.642,0.353,52.919,0.000
