img_ts,send_ts,dt_ms,w_x,w_y,w_z,v_x,v_y,v_z
1775656164.545725,1775656164.949334,403.609,0.000,0.000,0.000,-8.495,5.412,0.122
1775656164.951220,1775656165.350157,398.937,0.000,0.000,0.000,-17.686,8.106,0.029
1775656165.351216,1775656165.744233,393.018,0.000,0.000,0.000,-20.328,8.130,0.335
1775656165.745507,1775656166.111302,365.795,0.000,0.000,0.000,-20.230,8.112,0.316
1775656166.112311,1775656166.502809,390.498,0.000,0.000,0.000,-20.029,8.982,0.398
1775656166.503952,1775656166.889896,385.945,0.000,0.000,0.000,-18.968,9.814,0.289
1775656166.891140,1775656167.280428,389.288,0.000,0.000,0.000,-22.854,11.126,0.413
1775656167.281850,1775656167.673753,391.904,0.000,0.000,0.000,-21.724,10.038,0.302
1775656167.675596,1775656168.069656,394.060,0.000,0.000,0.000,-22.172,12.426,-0.848
,,,,,, 
1775656168.462063,1775656168.860764,398.701,0.636,8.127,0.000,0.000,0.000,0.000
1775656168.861870,1775656169.249876,388.006,0.590,8.103,0.000,0.000,0.000,0.000
1775656169.250935,1775656169.653099,402.164,0.604,8.121,0.000,0.000,0.000,0.000
1775656169.654209,1775656170.049056,394.847,0.618,8.130,0.000,0.000,0.000,0.000
1775656170.050754,1775656170.424201,373.447,0.600,8.139,0.000,0.000,0.000,0.000
1775656170.425423,1775656170.789382,363.960,0.593,8.117,0.000,0.000,0.000,0.000
1775656170.791088,1775656171.178310,387.222,0.549,8.041,0.000,0.000,0.000,0.000
1775656171.179521,1775656171.569363,389.842,0.512,7.940,0.000,0.000,0.000,0.000
1775656171.570404,1775656171.977809,407.406,0.477,7.838,0.000,0.000,0.000,0.000
1775656171.978985,1775656172.352571,373.586,0.447,7.627,0.000,0.000,0.000,0.000
1775656172.353618,1775656172.749103,395.485,0.461,7.445,0.000,0.000,0.000,0.000
1775656172.750660,1775656173.137799,387.139,0.429,7.281,0.000,0.000,0.000,0.000
1775656173.138930,1775656173.529981,391.050,0.386,7.208,0.000,0.000,0.000,0.000
1775656173.531552,1775656173.923570,392.019,0.425,7.073,0.000,0.000,0.000,0.000
1775656173.925343,1775656174.311464,386.121,0.375,6.946,0.000,0.000,0.000,0.000
1775656174.312577,1775656174.707480,394.903,0.348,6.678,0.000,0.000,0.000,0.000
1775656174.709960,1775656175.086033,376.073,0.309,6.511,0.000,0.000,0.000,0.000
1775656175.087225,1775656175.469224,381.999,0.312,6.420,0.000,0.000,0.000,0.000
1775656175.471269,1775656175.872440,401.171,0.321,6.287,0.000,0.000,0.000,0.000
1775656175.873523,1775656176.245540,372.016,0.308,6.080,0.000,0.000,0.000,0.000
1775656176.246650,1775656176.635413,388.763,0.253,5.835,0.000,0.000,0.000,0.000
1775656176.636573,1775656177.015841,379.268,0.238,5.657,0.000,0.000,0.000,0.000
1775656177.016872,1775656177.409932,393.060,0.243,5.498,0.000,0.000,0.000,0.000
1775656177.411404,1775656177.785998,374.594,0.171,5.283,0.000,0.000,0.000,0.000
1775656177.787144,1775656178.156287,369.143,0.166,5.029,0.000,0.000,0.000,0.000
1775656178.157413,1775656178.538430,381.018,0.169,4.904,0.000,0.000,0.000,0.000
,,,,,, 
,,,,,, 
1775656179.347732,1775656179.751960,404.228,0.115,4.097,0.000,0.000,0.000,0.000
1775656179.753530,1775656180.131778,378.248,0.105,4.065,0.000,0.000,0.000,0.000
1775656180.133135,1775656180.535337,402.202,0.094,3.827,0.000,0.000,0.000,0.000
1775656180.536726,1775656180.907684,370.958,0.116,3.767,0.000,0.000,0.000,0.000
1775656180.908725,1775656181.316784,408.059,0.127,3.672,0.000,0.000,0.000,0.000
1775656181.317820,1775656181.693435,375.616,0.116,3.608,0.000,0.000,0.000,0.000
1775656181.694593,1775656182.085763,391.169,0.109,3.555,0.000,0.000,0.000,0.000
1775656182.086797,1775656182.480586,393.788,0.106,3.368,0.000,0.000,0.000,0.000
1775656182.481531,1775656182.889430,407.899,0.096,3.276,0.000,0.000,0.000,0.000
1775656182.890671,1775656183.256452,365.781,0.100,3.104,0.000,0.000,0.000,0.000
1775656183.257452,1775656183.672017,414.565,0.068,2.998,0.000,0.000,0.000,0.000
1775656183.673010,1775656184.045458,372.448,0.068,2.875,0.000,0.000,0.000,0.000
1775656184.046682,1775656184.448930,402.248,0.080,2.822,0.000,0.000,0.000,0.000
1775656184.449956,1775656184.819058,369.102,0.150,2.711,0.000,0.000,0.000,0.000
1775656184.820068,1775656185.227991,407.923,0.160,2.612,0.000,0.000,0.000,0.000
,,,,,, 
,,,,,, 
1775656186.014212,1775656186.387691,373.479,0.142,2.174,0.000,0.000,0.000,0.000
1775656186.389186,1775656186.784410,395.225,0.130,2.001,0.000,0.000,0.000,0.000
1775656186.785823,1775656187.159107,373.284,0.098,1.802,0.000,0.000,0.000,0.000
