img_ts,send_ts,dt_ms,px_error,w_x,w_y,w_z,v_x,v_y,v_z
1775657993.030725,1775657993.418458,387.733,100.000,0.000,0.000,0.000,-19.752,-24.458,3.443
1775657993.419440,1775657993.794456,375.017,100.000,0.000,0.000,0.000,-25.738,-36.344,2.211
1775657993.795725,1775657994.165991,370.266,100.000,0.000,0.000,0.000,-32.342,-42.224,0.489
1775657994.167026,1775657994.537978,370.953,100.000,0.000,0.000,0.000,-33.679,-44.457,-1.500
1775657994.539076,1775657994.903931,364.855,100.000,0.000,0.000,0.000,-35.102,-46.326,-2.595
1775657994.904942,1775657995.287019,382.077,100.000,0.000,0.000,0.000,-37.243,-47.366,-3.688
1775657995.288176,1775657995.662591,374.414,100.000,0.000,0.000,0.000,-37.459,-47.813,0.021
1775657995.663712,1775657996.049044,385.332,100.000,0.000,0.000,0.000,-38.458,-47.791,-0.505
1775657996.050115,1775657996.424584,374.470,100.000,0.000,0.000,0.000,-38.275,-47.813,-0.082
,,,,,, 
1775657996.806330,1775657997.185374,379.044,22.238,-0.005,0.018,0.000,0.000,0.000,0.000
1775657997.186312,1775657997.545124,358.812,22.346,0.050,-0.033,0.000,0.000,0.000,0.000
1775657997.546231,1775657997.915832,369.601,22.428,-0.014,0.015,0.000,0.000,0.000,0.000
1775657997.916784,1775657998.285161,368.376,22.615,0.064,-0.032,0.000,0.000,0.000,0.000
1775657998.286301,1775657998.668439,382.138,22.820,-0.021,0.087,0.000,0.000,0.000,0.000
,,,,,, 
1775657999.054768,1775657999.429662,374.894,22.509,0.000,0.000,0.000,-37.459,-47.921,-1.377
1775657999.430895,1775657999.783853,352.958,22.405,0.000,0.000,0.000,-36.285,-47.810,-0.890
1775657999.785010,1775658000.152884,367.874,22.252,0.000,0.000,0.000,-35.675,-47.575,-1.280
1775658000.154147,1775658000.516922,362.776,20.924,0.000,0.000,0.000,-30.935,-45.410,-0.451
1775658000.517981,1775658000.874391,356.410,20.801,0.000,0.000,0.000,-30.210,-46.530,-0.584
1775658000.875449,1775658001.231107,355.657,20.125,0.000,0.000,0.000,-29.812,-45.519,-0.824
1775658001.232144,1775658001.576499,344.355,19.328,0.000,0.000,0.000,-27.830,-44.919,-1.228
1775658001.577454,1775658001.936080,358.626,19.083,0.000,0.000,0.000,-29.648,-45.795,-1.577
1775658001.937179,1775658002.311434,374.255,18.611,0.000,0.000,0.000,-31.472,-46.471,-0.060
1775658002.312422,1775658002.676019,363.597,17.936,0.000,0.000,0.000,-28.289,-45.045,-0.533
,,,,,, 
