img_ts,send_ts,dt_ms,px_error,w_x,w_y,w_z,v_x,v_y,v_z
1775661051.223059,1775661051.643584,420.524,100.000,0.000,0.000,0.000,-18.430,-23.834,0.068
1775661051.644543,1775661052.045100,400.556,100.000,0.000,0.000,0.000,-28.717,-36.198,1.488
1775661052.046127,1775661052.448413,402.286,100.000,0.000,0.000,0.000,-33.792,-42.268,-0.232
1775661052.449532,1775661052.859437,409.904,100.000,0.000,0.000,0.000,-34.466,-44.921,-3.796
1775661052.860768,1775661053.259107,398.339,100.000,0.000,0.000,0.000,-37.329,-46.365,-1.478
1775661053.260158,1775661053.675843,415.684,100.000,0.000,0.000,0.000,-36.185,-46.703,-0.814
1775661053.676842,1775661054.065065,388.224,100.000,0.000,0.000,0.000,-36.091,-47.022,0.564
1775661054.066747,1775661054.477808,411.062,100.000,0.000,0.000,0.000,-35.999,-46.999,-0.017
1775661054.478962,1775661054.884604,405.642,100.000,0.000,0.000,0.000,-37.334,-47.998,-0.084
,,,,,, 
,,,,,, 
1775661055.707743,1775661056.085946,378.204,20.211,0.000,0.000,0.000,-30.585,-44.152,-0.449
1775661056.087089,1775661056.461624,374.535,19.244,0.000,0.000,0.000,-27.821,-42.930,-1.401
1775661056.462787,1775661056.840404,377.616,19.468,0.000,0.000,0.000,-32.543,-45.664,-1.124
1775661056.841449,1775661057.247070,405.621,18.713,0.000,0.000,0.000,-30.280,-44.357,-1.178
1775661057.248375,1775661057.651738,403.363,18.373,0.000,0.000,0.000,-29.442,-44.682,-1.128
1775661057.652870,1775661058.046364,393.494,17.665,0.000,0.000,0.000,-27.424,-43.041,-0.136
1775661058.047508,1775661058.420935,373.427,17.170,0.000,0.000,0.000,-26.809,-43.310,-0.203
1775661058.422222,1775661058.806549,384.327,16.661,0.000,0.000,0.000,-31.176,-45.323,-0.359
1775661058.808085,1775661059.192071,383.986,16.459,0.000,0.000,0.000,-33.238,-46.558,-2.048
1775661059.193354,1775661059.583334,389.980,16.693,0.000,0.000,0.000,-34.036,-46.279,-1.626
1775661059.584618,1775661059.968786,384.169,17.661,0.000,0.000,0.000,-35.436,-47.456,-0.518
1775661059.969878,1775661060.352695,382.817,18.441,0.000,0.000,0.000,-33.876,-47.749,-0.247
1775661060.355120,1775661060.747952,392.832,18.338,0.000,0.000,0.000,-32.974,-48.031,-0.674
1775661060.749084,1775661061.121605,372.520,18.724,0.000,0.000,0.000,-31.757,-47.355,-1.614
1775661061.123691,1775661061.510967,387.277,19.248,0.000,0.000,0.000,-32.790,-47.721,0.176
1775661061.512112,1775661061.895126,383.014,19.210,0.000,0.000,0.000,-27.907,-44.453,0.255
1775661061.896289,1775661062.272721,376.432,19.300,0.000,0.000,0.000,-27.931,-44.440,-1.328
1775661062.273880,1775661062.658006,384.126,18.709,0.000,0.000,0.000,-26.906,-43.727,-0.641
1775661062.659013,1775661063.034656,375.643,18.323,0.000,0.000,0.000,-28.508,-44.735,-0.219
1775661063.035932,1775661063.420229,384.297,18.181,0.000,0.000,0.000,-27.946,-45.191,-2.261
1775661063.421577,1775661063.810314,388.737,17.922,0.000,0.000,0.000,-30.895,-46.521,-1.025
1775661063.811408,1775661064.182587,371.180,17.580,0.000,0.000,0.000,-30.010,-46.409,0.328
1775661064.183714,1775661064.584735,401.021,17.092,0.000,0.000,0.000,-28.497,-46.130,-0.022
1775661064.585760,1775661064.966387,380.627,16.745,0.000,0.000,0.000,-26.477,-45.105,0.590
1775661064.967680,1775661065.357722,390.043,16.310,0.000,0.000,0.000,-27.945,-45.434,0.643
1775661065.360348,1775661065.742463,382.115,16.583,0.000,0.000,0.000,-28.330,-44.834,0.775
1775661065.743457,1775661066.134437,390.980,16.858,0.000,0.000,0.000,-30.662,-45.621,0.549
1775661066.135835,1775661066.512261,376.426,17.224,0.000,0.000,0.000,-28.167,-46.158,1.295
1775661066.513247,1775661066.890951,377.704,17.451,0.000,0.000,0.000,-31.864,-46.504,3.143
1775661066.892628,1775661067.273873,381.244,17.216,0.000,0.000,0.000,-28.179,-44.955,0.595
1775661067.274915,1775661067.658501,383.586,16.783,0.000,0.000,0.000,-26.282,-45.351,0.346
1775661067.659547,1775661068.035729,376.182,16.468,0.000,0.000,0.000,-26.507,-44.323,0.052
1775661068.037909,1775661068.414870,376.961,16.247,0.000,0.000,0.000,-27.285,-43.806,0.428
1775661068.416007,1775661068.795906,379.900,16.222,0.000,0.000,0.000,-29.611,-43.087,-0.513
1775661068.797832,1775661069.195649,397.817,16.106,0.000,0.000,0.000,-28.407,-43.985,-0.229
1775661069.196714,1775661069.585435,388.721,15.948,0.000,0.000,0.000,-26.482,-43.383,-0.014
1775661069.587016,1775661069.968380,381.364,15.678,0.000,0.000,0.000,-26.054,-44.076,-0.079
1775661069.969465,1775661070.338920,369.455,15.582,0.000,0.000,0.000,-24.834,-45.100,-1.288
1775661070.339952,1775661070.724876,384.923,15.287,0.000,0.000,0.000,-25.565,-45.302,-2.212
1775661070.725931,1775661071.101651,375.720,15.499,0.000,0.000,0.000,-26.932,-45.333,-0.258
1775661071.102827,1775661071.487979,385.152,15.181,0.000,0.000,0.000,-24.423,-43.810,-0.367
1775661071.489100,1775661071.874552,385.452,15.387,0.000,0.000,0.000,-25.923,-44.675,-0.171
1775661071.875875,1775661072.245268,369.392,15.460,0.000,0.000,0.000,-23.662,-44.801,-0.069
1775661072.246676,1775661072.626621,379.945,15.313,0.000,0.000,0.000,-23.197,-43.364,-0.716
,,,,,, 
,,,,,, 
1775661073.380751,1775661073.755177,374.426,14.030,0.000,0.000,0.000,-18.548,-39.827,-1.336
1775661073.756303,1775661074.132056,375.753,13.440,0.000,0.000,0.000,-20.082,-38.884,-1.013
1775661074.133250,1775661074.535761,402.511,13.224,0.000,0.000,0.000,-23.522,-40.883,1.488
1775661074.537055,1775661074.922399,385.344,13.146,0.000,0.000,0.000,-26.901,-42.564,-0.021
1775661074.923878,1775661075.304037,380.159,13.426,0.000,0.000,0.000,-26.287,-43.925,-0.797
1775661075.305091,1775661075.710622,405.531,13.437,0.000,0.000,0.000,-27.325,-44.735,-0.958
1775661075.711875,1775661076.099931,388.056,13.491,0.000,0.000,0.000,-27.399,-44.824,-1.270
1775661076.100930,1775661076.480343,379.413,13.767,0.000,0.000,0.000,-26.293,-44.988,-1.243
1775661076.481679,1775661076.860864,379.185,13.950,0.000,0.000,0.000,-23.539,-41.174,0.376
1775661076.861943,1775661077.237514,375.571,14.388,0.000,0.000,0.000,-25.704,-43.175,-0.003
1775661077.238537,1775661077.625211,386.673,14.423,0.000,0.000,0.000,-23.565,-41.800,-0.649
1775661077.626364,1775661078.007539,381.175,14.712,0.000,0.000,0.000,-22.898,-42.444,-0.367
1775661078.008618,1775661078.387278,378.661,14.255,0.000,0.000,0.000,-18.459,-39.372,-0.497
1775661078.388315,1775661078.760895,372.581,14.159,0.000,0.000,0.000,-21.068,-41.681,0.117
1775661078.762434,1775661079.144766,382.332,13.484,0.000,0.000,0.000,-18.531,-38.394,0.317
1775661079.145984,1775661079.520566,374.582,13.376,0.000,0.000,0.000,-21.576,-41.621,1.504
1775661079.521549,1775661079.897462,375.912,12.957,0.000,0.000,0.000,-17.217,-41.170,0.270
1775661079.898927,1775661080.276969,378.042,12.329,0.000,0.000,0.000,-15.981,-38.617,0.713
1775661080.278094,1775661080.663866,385.772,12.620,0.000,0.000,0.000,-20.398,-40.446,-0.876
1775661080.664807,1775661081.044153,379.346,12.318,0.000,0.000,0.000,-17.760,-41.621,-0.296
1775661081.045238,1775661081.413704,368.467,12.230,0.000,0.000,0.000,-18.006,-40.436,-0.100
1775661081.415221,1775661081.789720,374.498,12.110,0.000,0.000,0.000,-20.262,-40.810,-0.593
1775661081.790685,1775661082.167951,377.265,12.211,0.000,0.000,0.000,-18.118,-39.579,-0.355
1775661082.169280,1775661082.548753,379.473,11.922,0.000,0.000,0.000,-16.990,-40.079,0.249
1775661082.549791,1775661082.924392,374.601,11.852,0.000,0.000,0.000,-14.941,-36.934,-0.311
1775661082.926080,1775661083.306627,380.548,11.238,0.000,0.000,0.000,-14.708,-36.263,-0.144
1775661083.307726,1775661083.687670,379.944,11.352,0.000,0.000,0.000,-19.486,-38.738,0.430
1775661083.688967,1775661084.064255,375.289,11.185,0.000,0.000,0.000,-15.496,-35.366,0.112
1775661084.065639,1775661084.460726,395.086,10.829,0.000,0.000,0.000,-17.072,-35.817,0.609
1775661084.461793,1775661084.837253,375.460,10.967,0.000,0.000,0.000,-20.220,-39.830,1.054
1775661084.838226,1775661085.212246,374.020,11.019,0.000,0.000,0.000,-19.905,-39.945,0.442
1775661085.213688,1775661085.597791,384.104,10.967,0.000,0.000,0.000,-22.219,-39.874,0.875
1775661085.599023,1775661085.973691,374.668,11.050,0.000,0.000,0.000,-19.509,-39.880,-1.102
1775661085.974762,1775661086.363129,388.366,10.759,0.000,0.000,0.000,-15.678,-37.266,-0.838
1775661086.365525,1775661086.749136,383.612,10.922,0.000,0.000,0.000,-13.609,-37.657,0.012
1775661086.750689,1775661087.138418,387.729,11.161,0.000,0.000,0.000,-14.332,-39.157,-0.357
1775661087.139482,1775661087.510990,371.508,10.730,0.000,0.000,0.000,-13.812,-36.308,-0.006
1775661087.512239,1775661087.884296,372.057,10.985,0.000,0.000,0.000,-14.912,-37.136,0.081
1775661087.886582,1775661088.257771,371.189,10.947,0.000,0.000,0.000,-15.065,-36.576,0.121
1775661088.259320,1775661088.638741,379.421,10.265,0.000,0.000,0.000,-12.763,-34.032,-0.597
1775661088.639726,1775661089.012805,373.079,10.020,0.000,0.000,0.000,-13.543,-34.727,-0.167
1775661089.013910,1775661089.391958,378.048,9.811,0.000,0.000,0.000,-13.005,-36.094,-0.556
1775661089.393433,1775661089.763672,370.239,10.002,0.000,0.000,0.000,-16.259,-39.427,-0.217
1775661089.765302,1775661090.136018,370.716,10.176,0.000,0.000,0.000,-15.968,-38.855,0.023
1775661090.137064,1775661090.522926,385.862,10.211,0.000,0.000,0.000,-15.496,-38.627,-0.039
1775661090.524150,1775661090.889998,365.847,10.005,0.000,0.000,0.000,-15.849,-37.367,0.263
1775661090.890997,1775661091.255219,364.222,10.010,0.000,0.000,0.000,-13.588,-35.648,0.019
1775661091.256195,1775661091.644235,388.040,10.172,0.000,0.000,0.000,-16.282,-38.041,5.162
1775661091.645514,1775661092.020769,375.256,10.365,0.000,0.000,0.000,-17.244,-38.939,2.666
