img_ts,send_ts,dt_ms,px_error,w_x,w_y,w_z,v_x,v_y,v_z
1777066187.159069,1777066187.680633,521.564,100.000,0.000,0.000,0.000,-24.870,25.000,13.756
1777066188.683136,1777066189.172644,489.507,100.000,0.000,0.000,0.000,-37.434,-12.272,30.743
1777066189.174044,1777066189.666256,492.213,100.000,0.000,0.000,0.000,-43.717,18.864,40.358
1777066189.667709,1777066190.168010,500.300,100.000,0.000,0.000,0.000,-46.858,34.432,45.090
1777066190.668980,1777066191.153127,484.147,100.000,0.000,0.000,0.000,-48.429,-7.731,33.565
1777066191.154390,1777066191.649181,494.791,100.000,0.000,0.000,0.000,-49.215,21.134,41.752
1777066191.650394,1777066192.133965,483.571,236.107,0.000,0.000,0.000,-49.607,35.567,45.719
1777066192.620426,1777066193.091282,470.856,300.074,0.000,0.000,0.000,-49.804,42.784,47.092
1777066193.569717,1777066194.032694,462.978,431.122,0.000,0.000,0.000,-49.901,3.557,48.003
1777066195.509216,1777066195.992526,483.310,599.702,0.000,0.000,0.000,-49.951,25.684,48.994
1777066197.974795,1777066198.544797,570.002,7042.742,0.000,0.000,0.000,-49.975,37.842,48.875
1777066198.546152,1777066199.022336,476.184,7045.446,0.000,0.000,0.000,-49.987,43.921,49.288
1777066199.996441,1777066200.480291,483.850,7012.045,0.000,0.000,0.000,-49.968,46.960,47.939
1777066200.481570,1777066200.961779,480.210,7013.351,0.000,0.000,0.000,-49.984,48.480,48.938
1777066201.919157,1777066202.405984,486.827,7040.186,0.000,0.000,0.000,-49.988,49.240,46.756
1777066202.407166,1777066202.893656,486.490,397.681,0.000,0.000,0.000,-49.994,49.511,48.074
1777066202.894979,1777066203.367766,472.786,401.583,0.000,0.000,0.000,-49.971,49.755,47.403
1777066203.838062,1777066204.313811,475.749,401.031,0.000,0.000,0.000,-49.984,49.878,48.490
1777066204.801128,1777066205.276178,475.050,324.596,0.000,0.000,0.000,-49.992,49.939,48.757
1777066205.277621,1777066205.748198,470.576,330.121,0.000,0.000,0.000,-49.972,49.969,49.240
,,,,,, 
1777066206.220265,1777066206.710305,490.040,226.208,8.081,-9.547,0.000,0.000,0.000,0.000
1777066206.712525,1777066207.180335,467.811,227.909,8.095,-9.513,0.000,0.000,0.000,0.000
1777066207.182259,1777066207.651899,469.640,227.698,8.154,-9.562,0.000,0.000,0.000,0.000
1777066207.653136,1777066208.114959,461.823,230.289,8.058,-9.632,0.000,0.000,0.000,0.000
1777066208.116620,1777066208.600316,483.696,213.640,8.224,-9.549,0.000,0.000,0.000,0.000
1777066208.601723,1777066209.079157,477.433,212.823,7.982,-9.164,0.000,0.000,0.000,0.000
1777066209.080236,1777066209.560607,480.371,136.594,7.841,-9.381,0.000,0.000,0.000,0.000
1777066209.562265,1777066210.043044,480.779,134.647,7.702,-9.440,0.000,0.000,0.000,0.000
1777066210.509415,1777066210.992981,483.566,154.669,7.503,-9.396,0.000,0.000,0.000,0.000
1777066211.480413,1777066211.951987,471.574,181.819,7.168,-9.343,0.000,0.000,0.000,0.000
1777066212.886050,1777066213.370181,484.131,238.022,6.637,-9.185,0.000,0.000,0.000,0.000
1777066213.371439,1777066213.847667,476.227,229.999,6.374,-9.116,0.000,0.000,0.000,0.000
1777066213.849080,1777066214.339418,490.339,232.041,6.265,-9.000,0.000,0.000,0.000,0.000
1777066214.341165,1777066214.798565,457.400,226.399,6.055,-8.929,0.000,0.000,0.000,0.000
1777066214.799799,1777066215.263274,463.474,190.920,5.952,-8.946,0.000,0.000,0.000,0.000
1777066215.264562,1777066215.747619,483.057,192.597,5.916,-8.965,0.000,0.000,0.000,0.000
1777066215.748784,1777066216.251179,502.395,161.945,5.761,-8.918,0.000,0.000,0.000,0.000
1777066216.252683,1777066216.770717,518.035,155.392,5.596,-8.817,0.000,0.000,0.000,0.000
1777066217.717221,1777066218.202599,485.379,154.779,5.045,-8.515,0.000,0.000,0.000,0.000
1777066218.203839,1777066218.673050,469.211,153.487,4.772,-8.331,0.000,0.000,0.000,0.000
1777066218.674528,1777066219.154384,479.856,145.293,4.506,-8.126,0.000,0.000,0.000,0.000
1777066219.155611,1777066219.604450,448.839,144.627,4.261,-7.884,0.000,0.000,0.000,0.000
1777066219.605636,1777066220.079484,473.848,149.777,4.042,-8.049,0.000,0.000,0.000,0.000
1777066220.080658,1777066220.504420,423.761,141.852,3.935,-7.805,0.000,0.000,0.000,0.000
1777066220.505625,1777066220.967004,461.379,137.810,3.898,-7.767,0.000,0.000,0.000,0.000
1777066220.968282,1777066221.412796,444.514,143.192,3.745,-7.679,0.000,0.000,0.000,0.000
1777066221.414156,1777066221.825273,411.117,118.608,3.613,-7.551,0.000,0.000,0.000,0.000
1777066221.826599,1777066222.224820,398.221,67.514,3.372,-7.335,0.000,0.000,0.000,0.000
1777066222.226073,1777066222.640603,414.530,65.961,3.220,-7.164,0.000,0.000,0.000,0.000
1777066222.641889,1777066223.074918,433.029,63.415,3.096,-6.967,0.000,0.000,0.000,0.000
1777066223.077062,1777066223.480670,403.608,57.784,2.974,-6.750,0.000,0.000,0.000,0.000
1777066223.481905,1777066223.882955,401.049,59.681,2.802,-6.573,0.000,0.000,0.000,0.000
1777066223.884632,1777066224.268697,384.065,51.841,2.694,-6.288,0.000,0.000,0.000,0.000
1777066224.270147,1777066224.653260,383.112,50.221,2.539,-6.078,0.000,0.000,0.000,0.000
1777066224.654606,1777066225.052877,398.272,45.074,2.423,-5.811,0.000,0.000,0.000,0.000
1777066225.054158,1777066225.436232,382.074,34.609,2.221,-5.542,0.000,0.000,0.000,0.000
1777066225.437800,1777066225.818588,380.789,31.439,2.072,-5.332,0.000,0.000,0.000,0.000
1777066225.819872,1777066226.215584,395.712,29.784,1.990,-5.169,0.000,0.000,0.000,0.000
1777066226.217042,1777066226.603213,386.171,30.846,1.876,-4.977,0.000,0.000,0.000,0.000
1777066226.604771,1777066227.006063,401.293,29.748,1.771,-4.834,0.000,0.000,0.000,0.000
1777066227.007236,1777066227.438909,431.673,31.439,1.676,-4.564,0.000,0.000,0.000,0.000
,,,,,, 
1777066227.829164,1777066228.203166,374.002,28.604,0.000,0.000,0.000,47.433,-47.392,-29.458
1777066228.204231,1777066228.586078,381.847,28.140,0.000,0.000,0.000,47.407,-47.715,-28.655
1777066228.587207,1777066228.975439,388.232,29.323,0.000,0.000,0.000,48.017,-48.616,-31.741
1777066228.976849,1777066229.348523,371.674,28.307,0.000,0.000,0.000,41.995,-43.378,-24.953
1777066229.349654,1777066229.746572,396.918,28.754,0.000,0.000,0.000,43.934,-45.175,-25.487
1777066229.747878,1777066230.128173,380.295,31.712,0.000,0.000,0.000,46.900,-47.578,-22.899
1777066230.129483,1777066230.535327,405.843,30.831,0.000,0.000,0.000,47.770,-48.499,-26.476
1777066230.536684,1777066230.923065,386.381,29.837,0.000,0.000,0.000,45.041,-44.594,-23.266
1777066230.924582,1777066231.311734,387.151,27.459,0.000,0.000,0.000,40.467,-43.723,-20.749
1777066231.313140,1777066231.693073,379.932,27.792,0.000,0.000,0.000,44.522,-45.812,-26.279
1777066231.694390,1777066232.082338,387.948,26.228,0.000,0.000,0.000,36.434,-38.406,-20.798
1777066232.083882,1777066232.466904,383.023,25.717,0.000,0.000,0.000,41.396,-41.444,-21.942
1777066232.468509,1777066232.849357,380.849,25.999,0.000,0.000,0.000,44.836,-45.623,-28.105
1777066232.850736,1777066233.225821,375.085,26.682,0.000,0.000,0.000,44.124,-45.556,-25.996
1777066233.227089,1777066233.612133,385.045,26.258,0.000,0.000,0.000,41.954,-45.829,-23.441
1777066233.613296,1777066234.008334,395.039,30.431,0.000,0.000,0.000,45.977,2.085,-36.386
1777066234.009631,1777066234.403518,393.888,34.676,0.000,0.000,0.000,47.988,-23.951,-42.687
1777066234.404891,1777066234.785167,380.276,34.013,0.000,0.000,0.000,36.207,-29.776,-28.069
1777066234.786426,1777066235.164879,378.453,35.022,0.000,0.000,0.000,38.080,-39.430,-3.700
1777066235.166104,1777066235.577435,411.331,35.540,0.000,0.000,0.000,37.891,-44.629,17.236
1777066235.578669,1777066236.103706,525.038,36.509,0.000,0.000,0.000,32.922,-46.081,18.490
1777066236.105089,1777066236.528499,423.410,39.361,0.000,0.000,0.000,41.443,1.642,-14.645
1777066236.530422,1777066236.940486,410.064,38.700,0.000,0.000,0.000,38.437,-24.027,9.955
1777066236.941762,1777066237.335074,393.312,39.838,0.000,0.000,0.000,24.896,-36.845,27.605
,,,,,, 
1777066237.725003,1777066238.104199,379.196,37.585,1.282,-3.243,0.000,0.000,0.000,0.000
1777066238.105419,1777066238.482132,376.713,31.856,1.331,-3.046,0.000,0.000,0.000,0.000
1777066238.483751,1777066238.869606,385.855,33.149,1.328,-3.266,0.000,0.000,0.000,0.000
1777066238.871198,1777066239.266146,394.948,34.115,1.156,-3.106,0.000,0.000,0.000,0.000
1777066239.267321,1777066239.649400,382.079,32.819,1.055,-2.961,0.000,0.000,0.000,0.000
1777066239.650518,1777066240.024700,374.181,33.610,1.179,-3.256,0.000,0.000,0.000,0.000
1777066240.026339,1777066240.413483,387.145,31.053,1.209,-3.267,0.000,0.000,0.000,0.000
1777066240.414863,1777066240.801713,386.849,31.816,1.133,-2.946,0.000,0.000,0.000,0.000
1777066240.802856,1777066241.187562,384.705,31.190,1.132,-2.968,0.000,0.000,0.000,0.000
1777066241.188930,1777066241.585273,396.343,28.520,1.097,-2.933,0.000,0.000,0.000,0.000
1777066241.586523,1777066241.963802,377.279,28.968,1.051,-2.762,0.000,0.000,0.000,0.000
,,,,,, 
1777066242.349667,1777066242.748232,398.565,31.403,0.000,0.000,0.000,-20.138,-48.865,42.742
1777066242.749596,1777066243.144752,395.155,29.436,0.000,0.000,0.000,-11.372,-46.950,35.982
1777066243.146190,1777066243.524574,378.384,28.473,0.000,0.000,0.000,-24.231,-37.969,26.708
1777066243.525810,1777066243.919343,393.533,27.462,0.000,0.000,0.000,-33.248,-39.359,25.592
1777066243.920486,1777066244.297308,376.822,28.020,0.000,0.000,0.000,-20.133,-44.478,34.727
1777066244.299026,1777066244.683934,384.908,26.042,0.000,0.000,0.000,-12.937,-45.606,35.461
1777066244.685107,1777066245.113525,428.418,27.903,0.000,0.000,0.000,-24.212,-47.776,42.143
1777066245.115330,1777066245.596408,481.077,28.434,0.000,0.000,0.000,-14.574,-48.625,42.109
