img_ts,send_ts,dt_ms,px_error,w_x,w_y,w_z,v_x,v_y,v_z
1777073800.558136,1777073801.011279,453.144,100.000,0.000,0.000,0.000,-24.999,-25.000,18.630
1777073801.476290,1777073801.933252,456.962,100.000,0.000,0.000,0.000,-37.500,12.500,34.258
1777073802.838915,1777073803.283067,444.152,100.000,0.000,0.000,0.000,-43.750,31.250,42.024
1777073803.284143,1777073803.748409,464.267,100.000,0.000,0.000,0.000,-46.870,39.865,45.364
1777073803.749652,1777073804.205986,456.334,100.000,0.000,0.000,0.000,-48.435,44.884,47.646
1777073804.207687,1777073804.675515,467.829,467.455,0.000,0.000,0.000,-49.216,47.016,48.475
1777073806.504271,1777073806.944387,440.116,342.331,0.000,0.000,0.000,-49.608,-0.822,49.168
1777073806.946660,1777073807.403084,456.424,316.329,0.000,0.000,0.000,-49.804,-25.078,49.472
1777073808.393878,1777073808.880801,486.923,638.597,0.000,0.000,0.000,-49.866,10.576,48.120
1777073808.882769,1777073809.360627,477.858,637.165,0.000,0.000,0.000,-49.919,29.056,48.003
1777073809.362027,1777073809.821268,459.242,526.731,0.000,0.000,0.000,-49.960,38.982,48.562
1777073809.822394,1777073810.314128,491.734,494.906,0.000,0.000,0.000,-49.977,44.491,48.310
1777073810.315635,1777073810.810841,495.206,434.379,0.000,0.000,0.000,-49.988,47.245,48.775
1777073811.297546,1777073811.766713,469.168,447.872,0.000,0.000,0.000,-49.994,48.621,49.387
1777073811.768419,1777073812.235298,466.880,446.012,0.000,0.000,0.000,-49.984,49.310,47.183
1777073812.711616,1777073813.195799,484.183,145.039,0.000,0.000,0.000,-49.992,49.655,48.517
1777073813.197468,1777073813.688051,490.583,145.492,0.000,0.000,0.000,-49.979,47.591,48.524
1777073813.689270,1777073814.174820,485.550,156.225,0.000,0.000,0.000,-49.989,-1.205,49.202
1777073814.650785,1777073815.099569,448.785,214.815,0.000,0.000,0.000,-49.992,23.848,49.146
1777073815.102237,1777073815.589788,487.551,208.838,0.000,0.000,0.000,-49.904,34.148,47.084
1777073815.590971,1777073816.064662,473.691,168.633,0.000,0.000,0.000,-49.949,42.058,47.759
1777073816.065733,1777073816.547976,482.243,161.078,0.000,0.000,0.000,-49.969,46.022,47.972
1777073817.983423,1777073818.484156,500.734,1064.023,0.000,0.000,0.000,-49.984,47.621,48.923
1777073819.449806,1777073819.931952,482.147,1187.902,0.000,0.000,0.000,-49.992,21.459,49.428
1777073820.453239,1777073820.942433,489.194,1225.427,0.000,0.000,0.000,-49.996,27.463,49.633
1777073821.422637,1777073821.902449,479.812,448.308,0.000,0.000,0.000,-49.998,37.991,49.438
1777073821.903599,1777073822.383271,479.671,369.012,0.000,0.000,0.000,-49.998,43.996,49.524
1777073822.384446,1777073822.863206,478.760,346.708,0.000,0.000,0.000,-49.999,4.523,49.639
1777073822.864475,1777073823.358227,493.752,348.675,0.000,0.000,0.000,-50.000,27.261,49.731
1777073823.837811,1777073824.337371,499.560,205.089,0.000,0.000,0.000,-50.000,-11.105,49.863
1777073825.257274,1777073825.733775,476.501,364.585,0.000,0.000,0.000,-49.641,14.520,45.410
1777073826.216272,1777073826.693847,477.575,358.901,0.000,0.000,0.000,-49.821,29.762,47.691
1777073829.111359,1777073829.606730,495.371,635.128,0.000,0.000,0.000,-49.910,-10.037,48.812
1777073829.608089,1777073830.088674,480.585,488.952,0.000,0.000,0.000,-49.955,19.981,49.403
1777073830.558808,1777073831.039447,480.639,488.322,0.000,0.000,0.000,-49.977,-6.014,49.682
1777073831.042255,1777073831.526540,484.285,497.936,0.000,0.000,0.000,-49.989,21.993,49.840
1777073832.473507,1777073832.950263,476.756,672.611,0.000,0.000,0.000,-49.994,35.990,49.915
1777073832.951412,1777073833.427995,476.583,595.436,0.000,0.000,0.000,-49.975,33.451,49.090
1777073833.910087,1777073834.398902,488.815,546.506,0.000,0.000,0.000,-49.987,41.689,49.545
1777073834.400716,1777073834.891629,490.913,538.951,0.000,0.000,0.000,-49.993,45.844,49.462
1777073834.893322,1777073835.374868,481.546,519.578,0.000,0.000,0.000,-49.997,47.922,49.730
1777073835.376180,1777073835.843271,467.091,523.602,0.000,0.000,0.000,-49.998,48.961,47.079
1777073835.844572,1777073836.340436,495.864,519.011,0.000,0.000,0.000,-49.999,49.480,48.527
1777073837.309634,1777073837.771693,462.059,283.408,0.000,0.000,0.000,-49.999,49.740,49.263
1777073837.773264,1777073838.245684,472.421,286.329,0.000,0.000,0.000,-49.998,49.865,48.983
1777073839.208078,1777073839.696502,488.424,244.170,0.000,0.000,0.000,-49.530,44.467,44.427
1777073842.573729,1777073843.036855,463.126,351.572,0.000,0.000,0.000,-49.765,34.735,47.213
1777073843.038960,1777073843.529067,490.108,280.334,0.000,0.000,0.000,-49.883,42.366,48.605
1777073844.016821,1777073844.491999,475.178,304.312,0.000,0.000,0.000,-49.941,45.028,49.303
1777073844.974679,1777073845.441423,466.744,1497.292,0.000,0.000,0.000,-49.971,47.514,49.651
1777073845.442836,1777073845.926411,483.575,1478.918,0.000,0.000,0.000,-49.985,48.757,49.743
1777073845.928489,1777073846.412822,484.332,1466.154,0.000,0.000,0.000,-49.993,0.183,49.866
1777073846.414196,1777073846.904803,490.607,1420.195,0.000,0.000,0.000,-49.996,-0.250,49.913
1777073848.326928,1777073848.804363,477.436,1512.508,0.000,0.000,0.000,-49.954,21.704,48.749
1777073848.805485,1777073849.279387,473.902,1514.887,0.000,0.000,0.000,-49.977,35.850,49.374
1777073849.281226,1777073849.767239,486.013,279.632,0.000,0.000,0.000,-48.961,35.419,42.647
1777073849.768568,1777073850.269913,501.346,274.947,0.000,0.000,0.000,-49.480,-7.291,46.281
1777073850.271305,1777073850.754683,483.379,265.073,0.000,0.000,0.000,-49.347,14.723,44.242
1777073850.755959,1777073851.239510,483.551,267.756,0.000,0.000,0.000,-49.674,32.362,47.120
1777073851.240747,1777073851.743558,502.811,262.149,0.000,0.000,0.000,-49.818,40.252,48.015
1777073852.730331,1777073853.218544,488.213,122.773,0.000,0.000,0.000,-49.018,36.856,42.953
1777073854.197105,1777073854.672778,475.673,342.666,0.000,0.000,0.000,-49.457,40.162,45.078
1777073854.674622,1777073855.153227,478.605,337.575,0.000,0.000,0.000,-49.728,45.030,47.501
1777073857.091101,1777073857.562347,471.247,6447.826,0.000,0.000,0.000,-49.864,46.063,48.725
1777073857.563631,1777073858.027762,464.131,6461.762,0.000,0.000,0.000,-49.932,48.031,49.362
1777073858.029014,1777073858.513476,484.462,6375.249,0.000,0.000,0.000,-49.965,48.611,49.352
1777073858.514625,1777073858.995886,481.261,6235.320,0.000,0.000,0.000,-49.976,47.746,49.218
1777073860.931624,1777073861.406544,474.920,509.540,0.000,0.000,0.000,-49.988,48.714,49.470
1777073861.407949,1777073861.871134,463.185,355.558,0.000,0.000,0.000,-49.762,45.240,45.991
1777073861.872406,1777073862.346968,474.562,351.298,0.000,0.000,0.000,-49.814,39.706,46.670
1777073863.294215,1777073863.758501,464.287,399.838,0.000,0.000,0.000,-49.906,40.232,43.633
1777073865.224625,1777073865.715826,491.201,423.729,0.000,0.000,0.000,-49.953,45.116,46.815
1777073865.717015,1777073866.181253,464.239,423.921,0.000,0.000,0.000,-49.976,47.406,48.289
1777073866.669869,1777073867.152883,483.014,460.498,0.000,0.000,0.000,-49.926,46.339,47.053
1777073867.637057,1777073868.113731,476.674,456.137,0.000,0.000,0.000,-49.963,48.169,48.516
1777073872.932517,1777073873.394180,461.663,741.713,0.000,0.000,0.000,-49.800,45.365,45.893
1777073875.305520,1777073875.789838,484.318,312.384,0.000,0.000,0.000,-48.269,38.722,39.455
1777073876.267095,1777073876.752929,485.835,321.706,0.000,0.000,0.000,-49.134,44.217,44.728
1777073876.754101,1777073877.242544,488.443,262.865,0.000,0.000,0.000,-49.567,46.820,47.322
1777073877.243642,1777073877.717062,473.421,246.910,0.000,0.000,0.000,-49.780,47.874,48.182
1777073880.148227,1777073880.623019,474.793,2126.429,0.000,0.000,0.000,-49.878,47.772,48.095
